ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.67891,0.63333,0.80383,0.08833,0,0,0.0
bubble sort (classic),bidirectional,10,0.71314,0.67013,0.83072,0.093,138544,143833,5.147389998845133e-06
bubble sort (classic),cached-sampling,10,0.70262,0.65413,0.83822,0.094,255354,1146433,2.751552746383452e-06
bubble sort (classic),sampling,10,0.70195,0.6496,0.84972,0.095,1185430,0,5.921479969293842e-07
bubble sort (classic),weird $(1.5)$,10,0.71822,0.67538,0.83306,0.09333,644706,0,1.1140271689731442e-06
mohajer (ir),sampling,10,0.62763,0.58808,0.73261,0.08333,69690,0,9.006026689625485e-06
mohajer (ir),cached-sampling,10,0.61808,0.57589,0.73706,0.084,115040,11901,5.372739916550764e-06
mohajer (ir),bidirectional,10,0.61222,0.55595,0.7755,0.08833,121926,12384,5.021242392926857e-06
mohajer (ir),weird $(1.5)$,10,0.62266,0.57332,0.75983,0.08633,71266,0,8.73712569808885e-06
mohajer + bubble,sampling,10,0.63945,0.58855,0.78261,0.08833,174330,0,3.668043366029943e-06
mohajer + bubble,cached-sampling,10,0.62794,0.57841,0.769,0.08667,210322,64577,2.985612536967127e-06
mohajer + bubble,bidirectional,10,0.59557,0.543,0.74556,0.08467,216488,33849,2.75105317615757e-06
mohajer + bubble,weird $(1.5)$,10,0.63624,0.58321,0.78917,0.08933,161157,0,3.9479513766079045e-06
prp sort (classic),cached-sampling,10,0.66273,0.61542,0.794,0.09,450952,13296,1.4696242615622064e-06
prp sort (classic),bidirectional,10,0.70568,0.66536,0.81539,0.092,294252,5794,2.3982164947052185e-06
prp sort (classic),sampling,10,0.65982,0.61433,0.78539,0.08867,237151,0,2.782277957925541e-06
prp sort (classic),weird $(1.5)$,10,0.68608,0.64094,0.81372,0.09167,198164,0,3.4621828384570355e-06
quick sort (classic),bidirectional,10,0.61388,0.56481,0.75539,0.08567,605524,0,1.0137996181819383e-06
quick sort (classic),cached-sampling,10,0.63533,0.59136,0.75706,0.08567,322134,0,1.9722537825873703e-06
quick sort (classic),sampling,10,0.63533,0.59136,0.75706,0.08567,161067,0,3.944507565174741e-06
quick sort (classic),weird $(1.5)$,10,0.6113,0.57106,0.72372,0.08233,170530,0,3.584706503254559e-06
sliding window prp (classic),bidirectional,10,0.71314,0.67013,0.83072,0.093,135484,163089,5.263647367954888e-06
sliding window prp (classic),cached-sampling,10,0.70936,0.66122,0.84322,0.094,238646,177337,2.9724361606731307e-06
sliding window prp (classic),sampling,10,0.68612,0.63157,0.84222,0.09467,296660,0,2.3128160183374905e-06
sliding window prp (classic),weird $(1.5)$,10,0.69416,0.64073,0.84572,0.09433,296660,0,2.339917750960696e-06
