ranker,k,NDCG,MAP,Recall,Precision,Comparisons,NDCG_per_comp
mohajer,1,0.27551,0.03102,0.03102,0.28571,11742,2.346363481519332e-05
mohajer,3,0.25738,0.06421,0.08762,0.26531,11742,2.1919604837336057e-05
mohajer,5,0.26959,0.09547,0.15396,0.27755,11742,2.2959461761199114e-05
mohajer,10,0.27627,0.13814,0.2616,0.23878,11742,2.3528359734287174e-05
mohajer,100,0.53968,0.2323,1.0,0.1,11742,4.596150570601261e-05
random,1,0.13265,0.01405,0.01405,0.14286,0,0.0
random,3,0.11735,0.02736,0.04398,0.13605,0,0.0
random,5,0.11886,0.03534,0.06582,0.13061,0,0.0
random,10,0.11278,0.0444,0.10303,0.09796,0,0.0
random,100,0.4526,0.14779,1.0,0.1,0,0.0
